n,mean_size_diff,max_size_diff,std_size_diff,MSE,mean_corr,std_corr,min,n_under_0.9,n_under_0.8,n_under_0.7,n_under_0.5
50,0.8924731182795699,True,0.30978194173952545,166225781304118.56,0.8854408027532377,0.19168159497286016,0.0,29911,19525,14026,7160
75,0.8924731182795699,True,0.30978194173952545,79119390374931.31,0.9411432489601603,0.10907237632361395,0.0,18764,10301,4833,977
100,0.8924731182795699,True,0.30978194173952545,6229.278008378332,0.9805000922320399,0.05902708407630372,0.0,5797,2705,1405,399
125,0.8924731182795699,True,0.30978194173952545,4985.25164825222,0.9838747348875498,0.0517645173852048,0.0,4986,2205,1103,316
150,0.8924731182795699,True,0.30978194173952545,4564.690054256349,0.9873900547296361,0.04128878874948394,5.743626160216786e-14,3462,1513,693,233
175,0.8924731182795699,True,0.30978194173952545,4385.109444913256,0.9883447338531683,0.03947328215260912,0.0,3247,1460,746,276
200,0.8924731182795699,True,0.30978194173952545,4092.2459650322503,0.9903618985179378,0.03315588856569992,6.336145717040254e-09,2666,1049,524,184
250,0.8924731182795699,True,0.30978194173952545,3167.892613252663,0.9945241736455778,0.018771859006631964,0.0033557046979865494,1095,403,200,67
300,0.8924731182795699,True,0.30978194173952545,2195.6703663816224,0.9974666692041801,0.00924531068960668,0.0,439,224,145,51
500,0.8924731182795699,True,0.30978194173952545,0.0,0.999,6.941259778995945e-17,0.9999999999999998,0,0,0,0
